Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
RTTPA_8 - Zahra,2021-10-29 22:01:18,,C:/Aaallmine/jobs/VGL/boris/oft_videos/RTTPA_8.mpg,610.150,29.97,mouse,Rear,,supported,STATE,365.399,367.401,2.002,,
RTTPA_8 - Zahra,2021-10-29 22:01:18,,C:/Aaallmine/jobs/VGL/boris/oft_videos/RTTPA_8.mpg,610.150,29.97,mouse,Rear,,supported,STATE,372.739,376.410,3.671,,
RTTPA_8 - Zahra,2021-10-29 22:01:18,,C:/Aaallmine/jobs/VGL/boris/oft_videos/RTTPA_8.mpg,610.150,29.97,mouse,Rear,,supported,STATE,383.417,385.419,2.002,,
