Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,91.692,92.926,1.234,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,236.703,237.838,1.135,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,260.093,262.262,2.169,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,306.540,308.609,2.069,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,323.924,325.325,1.401,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,333.667,338.872,5.205,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,354.388,356.990,2.602,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,361.228,362.729,1.501,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,365.032,367.367,2.335,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,379.780,382.316,2.536,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,427.928,430.364,2.436,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,447.881,449.449,1.568,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,467.301,470.204,2.903,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,482.516,484.218,1.702,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,496.096,497.264,1.168,,
0620 OFT 3min epochs_3 - Zahra,2021-10-29 15:15:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_3.mpg,1631.770,29.97,mouse,Rear,,supported,STATE,515.816,517.117,1.301,,
