Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,3.770,5.172,1.402,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,20.854,21.855,1.001,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,191.024,191.992,0.968,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,196.230,197.231,1.001,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,204.638,205.672,1.034,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,211.144,212.246,1.102,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,218.585,220.020,1.435,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,220.921,222.222,1.301,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,226.960,228.262,1.302,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,232.432,233.700,1.268,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,248.182,249.082,0.900,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,251.385,253.053,1.668,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,259.593,261.228,1.635,,
ZIMLR vGAT OFT1219_6 - Zahra,2021-11-27 13:47:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_6.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,264.231,266.466,2.235,,
