Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,56.123,57.090,0.967,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,73.774,74.842,1.068,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,75.475,77.110,1.635,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,87.120,89.056,1.936,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,126.093,127.427,1.334,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,136.737,138.472,1.735,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,144.444,145.946,1.502,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,171.171,172.873,1.702,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,206.640,207.774,1.134,,
ZIMLR vGAT OFT_2 - Zahra,2021-11-12 12:16:02,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_2.mpg,2010.050,29.97,mouse,Rear,,supported,STATE,224.258,225.726,1.468,,
