Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,1.235,2.035,0.800,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,27.594,28.061,0.467,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,74.474,75.843,1.369,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,79.947,81.615,1.668,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,111.144,113.013,1.869,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,162.196,163.197,1.001,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,182.583,183.851,1.268,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,191.558,193.060,1.502,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,198.632,200.601,1.969,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,203.237,205.138,1.901,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,207.007,209.209,2.202,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,210.978,212.179,1.201,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,248.282,250.017,1.735,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,253.153,256.557,3.404,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,262.062,262.829,0.767,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,281.982,284.318,2.336,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,295.329,296.897,1.568,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,297.331,299.900,2.569,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,300.334,302.903,2.569,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,313.080,314.848,1.768,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,324.791,327.194,2.403,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,333.834,335.068,1.234,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,355.822,360.727,4.905,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,373.373,375.108,1.735,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,unsupported,STATE,382.749,383.417,0.668,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,386.787,389.690,2.903,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,405.439,407.074,1.635,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,413.714,415.282,1.568,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,420.087,421.455,1.368,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,supported,STATE,425.025,426.426,1.401,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,unsupported,STATE,472.906,474.875,1.969,,
0620 OFT 3min epochs_6 - Zahra,2021-10-20 20:54:17,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_6.STM,1639.280,29.97,mouse,Rear,,unsupported,STATE,485.652,490.791,5.139,,
