Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,32.065,33.066,1.001,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,124.611,127.681,3.070,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,189.209,191.111,1.902,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,206.894,208.228,1.334,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,245.599,248.068,2.469,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,305.292,309.162,3.870,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,314.801,316.303,1.502,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,321.341,324.811,3.470,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,327.247,329.283,2.036,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,333.687,334.855,1.168,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,337.724,338.358,0.634,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,354.975,356.944,1.969,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,377.331,379.099,1.768,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,382.903,384.171,1.268,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,407.961,410.264,2.303,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,supported,STATE,417.004,418.405,1.401,,
0620 OFT 3min epochs_2 - Zahra,2021-10-23 19:10:08,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_2.mpg,1638.880,29.97,mouse,Rear,,unsupported,STATE,457.611,458.946,1.335,,
