Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,202.102,203.570,1.468,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,207.241,207.941,0.700,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,209.243,210.077,0.834,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,217.584,219.620,2.036,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,232.132,233.267,1.135,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,252.286,254.188,1.902,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,261.028,261.995,0.967,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,263.697,265.265,1.568,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,268.268,270.971,2.703,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,275.309,276.310,1.001,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,279.780,282.850,3.070,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,288.889,289.923,1.034,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,300.334,304.137,3.803,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,324.958,325.692,0.734,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,338.071,339.039,0.968,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,unsupported,STATE,344.578,346.113,1.535,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,353.387,355.022,1.635,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,355.389,356.390,1.001,,
ZIMLR vGAT OFT_4 - Zahra,2021-11-27 10:57:54,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_4.mpg,2008.650,29.97,mouse,Rear,,supported,STATE,356.990,358.392,1.402,,
