Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,252.252,253.921,1.669,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,260.861,262.296,1.435,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,268.735,269.603,0.868,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,275.175,276.310,1.135,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,285.085,286.954,1.869,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,292.693,293.861,1.168,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,296.163,298.165,2.002,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,299.566,300.934,1.368,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,301.301,302.302,1.001,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,308.575,309.843,1.268,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,329.129,330.364,1.235,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,333.200,336.270,3.070,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,384.051,385.319,1.268,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,406.139,407.441,1.302,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,408.675,410.444,1.769,,
ZIMLR vGAT OFT_1 - Zahra,2021-11-12 11:04:29,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_1.mpg,1989.110,29.97,mouse,Rear,,supported,STATE,433.467,434.668,1.201,,
