Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,60.360,61.962,1.602,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,87.921,89.590,1.669,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,135.769,138.038,2.269,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,148.081,150.184,2.103,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,155.522,156.690,1.168,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,161.094,162.529,1.435,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,171.672,172.773,1.101,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,175.776,176.910,1.134,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,190.624,192.159,1.535,,
0620 OFT 3min epochs_5 - Zahra,2021-10-29 15:46:38,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_5.mpg,1632.270,29.97,mouse,Rear,,supported,STATE,213.180,214.781,1.601,,
